PainelistaID;Cidade;Estado;Sexo;Nascimento;PesquisaID;Data;CodCliente;Nome;CodJob;CodQuestao;DescQuestaoPOR;Resposta;DescOpcaoPOR
C4B1D30D-1559-4B31-9D84-CF58A1405258;Cuiabá;MT;F;10/2001;31821770-8E76-434D-BB14-10A6CA8B7667;15/03/2022 13:27;20242080.0;98DZK9M;4037;122498;Você tem PIX? ;1;Sim 
C4B1D30D-1559-4B31-9D84-CF58A1405258;Cuiabá;MT;F;10/2001;31821770-8E76-434D-BB14-10A6CA8B7667;15/03/2022 13:27;20242080.0;98DZK9M;4037;122499;Para quais finalidades você usa o PIX? ;1|2|3|4;
43DE7420-5CD1-4AB1-BE65-E26ADD41DC7C;Belém;PA;F;03/2002;31821770-8E76-434D-BB14-10A6CA8B7667;05/04/2022 10:56;20363265.0;98DZK9M;4037;122498;Você tem PIX? ;1;Sim 
43DE7420-5CD1-4AB1-BE65-E26ADD41DC7C;Belém;PA;F;03/2002;31821770-8E76-434D-BB14-10A6CA8B7667;05/04/2022 10:56;20363265.0;98DZK9M;4037;122499;Para quais finalidades você usa o PIX? ;1|2;
18DA0725-F1EE-4255-BC21-D5DB41F3C32B;Belford Roxo;RJ;F;08/1994;D8811E98-FE36-4575-99E5-68BE7D31F6FB;10/07/2022 01:41;24378343.0;F60KRQX;3794;57625;Qual seu estado civil? ;1;Solteira (o)
18DA0725-F1EE-4255-BC21-D5DB41F3C32B;Belford Roxo;RJ;F;08/1994;D8811E98-FE36-4575-99E5-68BE7D31F6FB;10/07/2022 01:41;24378343.0;F60KRQX;3794;57627;Você tem filhos?;1;Sim
18DA0725-F1EE-4255-BC21-D5DB41F3C32B;Belford Roxo;RJ;F;08/1994;D8811E98-FE36-4575-99E5-68BE7D31F6FB;10/07/2022 01:41;24378343.0;F60KRQX;3794;57724;Você tem alguma atividade remunerada, mensal?;2;Cuida da casa / É dono(a) de casa
18DA0725-F1EE-4255-BC21-D5DB41F3C32B;Belford Roxo;RJ;F;08/1994;D8811E98-FE36-4575-99E5-68BE7D31F6FB;10/07/2022 01:41;24378343.0;F60KRQX;3794;57791;Classe Social;5;C2 (17 - 22)
18DA0725-F1EE-4255-BC21-D5DB41F3C32B;Belford Roxo;RJ;F;08/1994;D8811E98-FE36-4575-99E5-68BE7D31F6FB;10/07/2022 01:41;24378343.0;F60KRQX;3794;57792;E em qual dessas faixas se encaixa a sua renda familiar mensal, incluindo o ganho de todas as pessoas que moram em sua residência, além de outros rendimentos como aluguel, entre outros? Você diria que é .....;1;Até 720,00
5B5B19C7-B076-46C8-B298-5F06177D0191;Paulista;PE;F;12/1997;D8811E98-FE36-4575-99E5-68BE7D31F6FB;12/03/2022 09:51;23486927.0;F60KRQX;3794;57625;Qual seu estado civil? ;1;Solteira (o)
5B5B19C7-B076-46C8-B298-5F06177D0191;Paulista;PE;F;12/1997;D8811E98-FE36-4575-99E5-68BE7D31F6FB;12/03/2022 09:51;23486927.0;F60KRQX;3794;57627;Você tem filhos?;1;Sim
5B5B19C7-B076-46C8-B298-5F06177D0191;Paulista;PE;F;12/1997;D8811E98-FE36-4575-99E5-68BE7D31F6FB;12/03/2022 09:51;23486927.0;F60KRQX;3794;57724;Você tem alguma atividade remunerada, mensal?;8;Autônomo/ Free-lancer
5B5B19C7-B076-46C8-B298-5F06177D0191;Paulista;PE;F;12/1997;D8811E98-FE36-4575-99E5-68BE7D31F6FB;12/03/2022 09:51;23486927.0;F60KRQX;3794;57727;Em qual dessas faixas se encaixa a sua renda pessoal mensal? Você diria que é .....;99;RECUSA
5B5B19C7-B076-46C8-B298-5F06177D0191;Paulista;PE;F;12/1997;D8811E98-FE36-4575-99E5-68BE7D31F6FB;12/03/2022 09:51;23486927.0;F60KRQX;3794;57791;Classe Social;6;D - E (0 - 16)
5B5B19C7-B076-46C8-B298-5F06177D0191;Paulista;PE;F;12/1997;D8811E98-FE36-4575-99E5-68BE7D31F6FB;12/03/2022 09:51;23486927.0;F60KRQX;3794;57792;E em qual dessas faixas se encaixa a sua renda familiar mensal, incluindo o ganho de todas as pessoas que moram em sua residência, além de outros rendimentos como aluguel, entre outros? Você diria que é .....;99;RECUSA
7B56021B-B119-4B6D-A8DF-CD674395C8B9;Capivari;SP;F;03/1997;31821770-8E76-434D-BB14-10A6CA8B7667;24/02/2022 20:51;20077839.0;98DZK9M;4037;122498;Você tem PIX? ;1;Sim 
7B56021B-B119-4B6D-A8DF-CD674395C8B9;Capivari;SP;F;03/1997;31821770-8E76-434D-BB14-10A6CA8B7667;24/02/2022 20:51;20077839.0;98DZK9M;4037;122499;Para quais finalidades você usa o PIX? ;1|2;
7B56021B-B119-4B6D-A8DF-CD674395C8B9;Capivari;SP;F;03/1997;D8811E98-FE36-4575-99E5-68BE7D31F6FB;24/02/2022 20:48;23413432.0;F60KRQX;3794;57625;Qual seu estado civil? ;2;Casada (o) / Morando Junto
7B56021B-B119-4B6D-A8DF-CD674395C8B9;Capivari;SP;F;03/1997;D8811E98-FE36-4575-99E5-68BE7D31F6FB;24/02/2022 20:48;23413432.0;F60KRQX;3794;57627;Você tem filhos?;1;Sim
7B56021B-B119-4B6D-A8DF-CD674395C8B9;Capivari;SP;F;03/1997;D8811E98-FE36-4575-99E5-68BE7D31F6FB;24/02/2022 20:48;23413432.0;F60KRQX;3794;57724;Você tem alguma atividade remunerada, mensal?;8;Autônomo/ Free-lancer
7B56021B-B119-4B6D-A8DF-CD674395C8B9;Capivari;SP;F;03/1997;D8811E98-FE36-4575-99E5-68BE7D31F6FB;24/02/2022 20:48;23413432.0;F60KRQX;3794;57727;Em qual dessas faixas se encaixa a sua renda pessoal mensal? Você diria que é .....;99;RECUSA
7B56021B-B119-4B6D-A8DF-CD674395C8B9;Capivari;SP;F;03/1997;D8811E98-FE36-4575-99E5-68BE7D31F6FB;24/02/2022 20:48;23413432.0;F60KRQX;3794;57791;Classe Social;6;D - E (0 - 16)
7B56021B-B119-4B6D-A8DF-CD674395C8B9;Capivari;SP;F;03/1997;D8811E98-FE36-4575-99E5-68BE7D31F6FB;24/02/2022 20:48;23413432.0;F60KRQX;3794;57792;E em qual dessas faixas se encaixa a sua renda familiar mensal, incluindo o ganho de todas as pessoas que moram em sua residência, além de outros rendimentos como aluguel, entre outros? Você diria que é .....;99;RECUSA
397C7735-F365-479B-94E0-BCD7FA90CE4E;Teresina;PI;F;05/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;05/04/2022 13:48;23839315.0;F60KRQX;3794;57625;Qual seu estado civil? ;1;Solteira (o)
397C7735-F365-479B-94E0-BCD7FA90CE4E;Teresina;PI;F;05/2002;D8811E98-FE36-4575-99E5-68BE7D31F6FB;05/04/2022 13:48;23839315.0;F60KRQX;3794;57627;Você tem filhos?;2;Não
